symbol,location,latitude,longitude,in_both
CBOE,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
CBRE,"Los Angeles, California",34.0522342,-118.2436849,TRUE
CBS,"New York, New York",36.1023715,-115.1745559,TRUE
CE,"Irving, Texas",32.8140177,-96.9488945,FALSE
CELG,"Summit, New Jersey",40.7146376,-74.3646122,TRUE
CNC,"St Louis, Missouri",38.6270025,-90.1994042,TRUE
CNP,"Houston, Texas",29.7604267,-95.3698028,TRUE
CTL,"Monroe, Louisiana",32.5093109,-92.1193012,TRUE
CERN,"North Kansas City, Missouri",39.1429081,-94.5729781,TRUE
CF,"Deerfield, Illinois",42.1711365,-87.8445119,TRUE
SCHW,"San Francisco, California",37.7749295,-122.4194155,TRUE
CHTR,"Stamford, Connecticut",41.0534302,-73.5387341,TRUE
CVX,"San Ramon, California",37.7799273,-121.9780153,TRUE
CMG,"Newport Beach, California",33.6188829,-117.9298493,TRUE
CB,"Zurich, Switzerland",47.3768866,8.541694,TRUE
CHD,"Ewing, New Jersey",40.2599864,-74.7909125,TRUE
CI,"Bloomfield, Connecticut",41.826488,-72.7300945,TRUE
XEC,"Denver, Colorado",39.7392358,-104.990251,TRUE
CINF,"Fairfield, Ohio",39.3454673,-84.5603187,TRUE
CTAS,"Mason, Ohio",39.3600586,-84.309939,TRUE
CSCO,"San Jose, California",37.3382082,-121.8863286,TRUE
C,"New York, New York",36.1023715,-115.1745559,TRUE
CFG,"Providence, Rhode Island",41.8239891,-71.4128343,TRUE
CTXS,"Fort Lauderdale, Florida",26.1224386,-80.1373174,TRUE
CLX,"Oakland, California",37.8043637,-122.2711137,TRUE
CME,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
CMS,"Jackson, Michigan",42.245869,-84.4013462,TRUE
KO,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
CTSH,"Teaneck, New Jersey",40.8932469,-74.0116536,TRUE
CL,"New York, New York",36.1023715,-115.1745559,TRUE
CMCSA,"Philadelphia, Pennsylvania",39.9525839,-75.1652215,TRUE
CMA,"Dallas, Texas",32.7766642,-96.7969879,TRUE
CAG,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
CXO,"Midland, Texas",31.9973456,-102.0779146,TRUE
COP,"Houston, Texas",29.7604267,-95.3698028,TRUE
ED,"New York, New York",36.1023715,-115.1745559,TRUE
STZ,"Victor, New York",42.9825633,-77.4088794,TRUE
COO,"Pleasanton, California",37.6624312,-121.8746789,TRUE
CPRT,"Dallas, Texas",32.7766642,-96.7969879,FALSE
GLW,"Corning, New York",42.1428521,-77.0546903,TRUE
COST,"Issaquah, Washington",47.5301011,-122.0326191,TRUE
COTY,"New York, New York",36.1023715,-115.1745559,TRUE
CCI,"Houston, Texas",29.7604267,-95.3698028,TRUE
CSX,"Jacksonville, Florida",30.3321838,-81.655651,TRUE
CMI,"Columbus, Indiana",39.2014404,-85.9213796,TRUE
CVS,"Woonsocket, Rhode Island",42.0028761,-71.5147839,TRUE
DHI,"Fort Worth, Texas",32.7554883,-97.3307658,TRUE
DHR,"Washington, D.C.",38.9071923,-77.0368707,TRUE
DRI,"Orlando, Florida",28.5383355,-81.3792365,TRUE
DVA,"Denver, Colorado",39.7392358,-104.990251,TRUE
DE,"Moline, Illinois",41.5067003,-90.5151342,TRUE
DAL,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
XRAY,"York, Pennsylvania",39.9625984,-76.727745,TRUE
DVN,"Oklahoma City, Oklahoma",35.4675602,-97.5164276,TRUE
FANG,"Midland, Texas",31.9973456,-102.0779146,FALSE
DLR,"San Francisco, California",37.7749295,-122.4194155,TRUE
DFS,"Riverwoods, Illinois",42.1675254,-87.897014,TRUE
DISCA,"Silver Spring, Maryland",38.9906657,-77.026088,TRUE
DISCK,"Silver Spring, Maryland",38.9906657,-77.026088,TRUE
DISH,"Meridian, Colorado",39.5516553,-104.8588666,TRUE
DG,"Goodlettsville, Tennessee",36.3231066,-86.7133302,TRUE
DLTR,"Chesapeake, Virginia",36.7682088,-76.2874927,TRUE
D,"Richmond, Virginia",37.5407246,-77.4360481,TRUE
DOV,"Downers Grove, Illinois",41.8089191,-88.0111746,TRUE
DOW,"Midland, Michigan",43.6155825,-84.2472116,FALSE
DWDP,"Midland, Michigan",43.6155825,-84.2472116,TRUE
DTE,"Detroit, Michigan",42.331427,-83.0457538,TRUE
DRE,"Indianapolis, Indiana",39.768403,-86.158068,TRUE
DUK,"Charlotte, North Carolina",35.2270869,-80.8431267,TRUE
DXC,"Tysons Corner, Virginia",38.9187222,-77.2310925,TRUE
ETFC,"New York, New York",36.1023715,-115.1745559,TRUE
